id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rogahn;Lily.Kihn75@yahoo.com;repurpose withdrawal;2021-01-25T14:28:07;71697;45464
2;Carey;O'Conner;Johnathon.Hammes@gmail.com;withdrawal;2021-01-25T18:24:59;75289;21024
3;Wilfrid;Spencer;Adan.Goodwin@gmail.com;Sleek;2021-01-25T03:28:23;71090;65309
4;Laurence;Gaylord;Alessia.Heathcote@hotmail.com;reinvent orchestrate;2021-01-24T22:58:00;52820;82484
5;Karson;Hammes;Eriberto14@hotmail.com;mobile Granite;2021-01-25T17:35:54;13439;33970
6;Aisha;Carroll;Fern.Ortiz73@gmail.com;Jersey time-frame;2021-01-25T02:22:06;64329;13556
7;Dedrick;Cremin;Karli72@yahoo.com;Devolved rich;2021-01-25T04:52:14;54588;45928
8;Clare;Willms;Bradley8@yahoo.com;payment Illinois;2021-01-25T18:55:38;3244;21747
9;Mariela;Spinka;Hope_Cruickshank98@hotmail.com;white;2021-01-25T10:16:17;90189;81327
10;Ada;Robel;Brent79@gmail.com;Table Alaska Checking;2021-01-24T22:56:27;32637;8639
